restaurant_name,location,primary_cuisine,cuisine_tags,cost,budget_label,rating,votes,address,affordability
Goa 0 Km,Kumaraswamy Layout,Goan,"['Goan', 'Seafood', 'North Indian', 'Chinese', 'Biryani']",,,3.7,163,"1828, 50 Feet Road, 2nd Stage, Kumaraswamy Layout, Bangalore",unknown
Chinese Kitchen,Basavanagudi,Chinese,['Chinese'],,,3.3,58,"67, Kanasu Complex, Kubirmutt Road, Hunumathathangar, Basavanagudi, Bangalore",unknown
1947,Banashankari,North Indian,"['North Indian', 'Chinese']",,,3.4,808,"296, Ram Towers, 100 Feet Ring Road, Banashankari, Bangalore",unknown
Cake of the Day,Banashankari,Bakery,['Bakery'],,,4.3,78,"295/B, 7th Main Road, 100 Feet Ring Road, 7th Block, 3rd Stage, Banashankari, Bangalore",unknown
Kabab Magic,Basavanagudi,North Indian,"['North Indian', 'Kebab', 'Chinese', 'Fast Food']",,,4.8,1720,"31, Opposite Vijaya College, RV Road, Basavanagudi, Bangalore",unknown
Namma Brahmin's Idli,Jayanagar,South Indian,['South Indian'],,,3.8,34,"30th Cross, 8th Main, Near Jain Temple, 4th Block, Jayanagar, Bangalore",unknown
Gustoes Beer House,Banashankari,Continental,"['Continental', 'Italian', 'Mexican', 'North Indian', 'Chinese', 'Steak']",,,4.8,868,"10, 30th Main, Deve Gowda Petrol Bunk Road, 3rd Stage, Banashankari, Bangalore",unknown
Sugar Rush,Banashankari,Bakery,"['Bakery', 'Desserts']",,,3.7,39,"186, 11th Main, 4th Cross, Hanumanthnagar, Banashankari, Bangalore",unknown
Burger King,Basavanagudi,Burger,"['Burger', 'Fast Food', 'Beverages']",,,3.2,71,"59/3, Ground & First Floor, West Anjaneya Temple Road, Ward 49, Gandhi Bazaar, Basavanagudi, Bangalore",unknown
The Good Bowl,Banashankari,Italian,"['Italian', 'North Indian', 'Biryani']",,,4.2,6,"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",unknown
The Biryani Cafe,Banashankari,Biryani,"['Biryani', 'Chinese', 'Kebab']",,,5.0,520,"476, 2nd Floor, 9th Cross, Avalahalli BDA Park, BSK 3rd Stage, Banashankari, Bangalore",unknown
Spicy Tandoor,Banashankari,North Indian,['North Indian'],,,3.9,0,"Opposite ICICi Bank, Hanuman Nagar, Banashankari, Bangalore",unknown
LSD Cafe,Banashankari,Chinese,"['Chinese', 'Continental', 'Italian', 'North Indian']",,,4.8,84,"100 Feet Road, 3rd Stage, Banashankari, Bangalore",unknown
Rolls On Wheels,Banashankari,Fast Food,"['Fast Food', 'Rolls', 'Momos']",,,2.7,299,"Shop 33 & 30, 21st Main, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",unknown
Om Sri Vinayaka Chats,Banashankari,Street Food,"['Street Food', 'Fast Food']",,,4.1,0,"39, S B M Colony, Near-Sita Circle, 1st Stage, Banashankari, Bengaluru",unknown
Sri Guru Kottureshwara Davangere Benne Dosa,Basavanagudi,South Indian,['South Indian'],,,3.7,558,"49/1, Subbaraoshetty Road, Netkallappa Circle, Basavanagudi, Bangalore",unknown
Devanna Dum Biriyani Centre,Banashankari,Biryani,"['Biryani', 'South Indian']",,,3.8,28,"16th Main Road, Near PESIT College, Banashankari, Bangalore",unknown
Kolbeh,Banashankari,Fast Food,['Fast Food'],,,3.6,22,"1430, 22nd Cross, Next To Coffee Day, Near BDA Complex, Banashankari, Bangalore",unknown
Upahar Sagar,Banashankari,South Indian,"['South Indian', 'Chinese', 'North Indian']",,,3.4,39,"727, 23rd Cross, KR Road, 2nd Stage, Banashankari, Bangalore",unknown
Kadalu Sea Food Restaurant,Vijay Nagar,Seafood,"['Seafood', 'North Indian', 'Chinese', 'Andhra', 'Biryani', 'Kebab']",,,3.6,153,"36, 2nd Main, RPC Layout, Vijay Nagar, Bangalore",unknown
Frozen Bottle,Banashankari,Beverages,"['Beverages', 'Desserts', 'Ice Cream']",,,4.1,146,"2477, 24th Cross Road, Siddanna Layout, Stage 2, Banashankari, Bangalore",unknown
Parimala Sweets,Banashankari,Mithai,"['Mithai', 'Street Food']",,,4.9,14,"1142, 22nd Cross, 30th Main, Banashankari, Bangalore",unknown
Vaishali Deluxe,Banashankari,North Indian,"['North Indian', 'Chinese']",,,3.6,42,"512, 2nd Cross, 3rd Stage, Banashankari, Bangalore",unknown
Chill Out,Banashankari,South Indian,"['South Indian', 'Chinese']",,,3.2,0,"161/C, 6th Main, 80 Feet Road, Bhuvaneshwari Nagercoil, Banashankari, Bangalore",unknown
The Big O Bakes,Banashankari,Bakery,"['Bakery', 'Desserts']",,,3.1,66,"45/12, 4th Cross, 10th Main, Gururaja Layout, Banashankari, Bangalore",unknown
Meghana Foods,Jayanagar,Biryani,"['Biryani', 'North Indian', 'Chinese']",,,4.3,4401,"52, 1st Floor, 33rd Cross, 4th Block, Jayanagar, Bangalore",unknown
Krishna Sagar,Banashankari,North Indian,['North Indian'],,,4.2,31,"38, 22nd Main, 22nd Cross, Opposite BDA, 2nd Stage, Banashankari, Bangalore",unknown
Dessert Rose,Banashankari,Desserts,['Desserts'],,,3.9,7,"1/34, 3rd Cross Road, Kathriguppe IV Phase, Banashankari 3rd Stage, Banashankari, Bangalore",unknown
Chickpet Donne Biryani House,Banashankari,Biryani,['Biryani'],,,3.9,21,"480/A, 50 feet road, Nagendra block, Near PES College, Nagendra block, Banashankari, Bangalore",unknown
Me And My Cake,Banashankari,Bakery,"['Bakery', 'Desserts']",,,3.8,0,"BDA Shopping Complex, 24th Cross Road, Siddanna Layout, 2nd Stage, Banashankari, Bangalore",unknown
Sunsadm,Banashankari,South Indian,['South Indian'],,,4.7,0,"Shop 18 , 3rd cross road,Markandeya Layout, Banashankari, Bangalore",unknown
Annapooraneshwari Mess,Banashankari,South Indian,['South Indian'],,,3.5,0,"625, 5th Cross Road, Hanumanthnagar, Banashankari, Bangalore",unknown
Thanco's Natural Ice Creams,Banashankari,Ice Cream,['Ice Cream'],,,3.8,9,"941, 21st Main Road, BSK 2nd Stage , Near BDA Complex, Banashankari, Bangalore",unknown
Nandhini Deluxe,Banashankari,North Indian,['North Indian'],,,3.6,283,"304, Opposite Apollo Public School, 100 Feet Ring Road, 4th Phase, 7th Block, Banashankari 3rd Stage, Bangalore,",unknown
Vi Ra's Bar and Restaurant,Banashankari,South Indian,"['South Indian', 'North Indian', 'Chinese']",,,3.5,62,"3828, Near Deve Gowda Petrol Bunk, 30th Cross, 3rd Stage, Banashankari, Bangalore",unknown
Kaggis,Banashankari,Fast Food,"['Fast Food', 'Bakery']",,,3.9,64,"50 Feet Road, Hanumanthanagar, Banashankari, Bangalore",unknown
Ayda Persian Kitchen,Banashankari,North Indian,"['North Indian', 'Iranian']",,,3.8,39,"34, 22nd Main, 22nd Cross, Opposite BDA, 2nd Stage, Banashankari, Bangalore",unknown
Chatar Patar,Banashankari,Fast Food,"['Fast Food', 'Street Food']",,,4.2,65,"24/1, 23rd Cross, 6th Main Road, Opposite Kaveri Grameena Bank, 2nd Stage, Banashankari, Bangalore",unknown
Polar Bear,Basavanagudi,Ice Cream,"['Ice Cream', 'Desserts', 'Beverages', 'Sandwich']",,,3.7,71,"96, Opposite Jain Collage, Basavanagudi, Bangalore",unknown
Kidambi's Kitchen,Banashankari,South Indian,['South Indian'],,,3.2,52,"2465, 3rd Floor, Opposite BDA Complex, 24th Cross, Banashankari, Bangalore",unknown
Mane Thindi,Banashankari,South Indian,['South Indian'],,,4.1,130,"295/A, 7th Main road, 7th Block, 3rd Stage, Banashankari, Bangalore",unknown
Kotian Karavali Restaurant,Banashankari,South Indian,"['South Indian', 'Biryani']",,,3.5,10,"1189, 10th Cross, Shankarnag Circle, 1st Stage, 2nd Block, Banashankari, Bangalore",unknown
Floured-Baked With Love,Banashankari,Bakery,['Bakery'],,,3.4,45,"415, 1st C Cross, Banashankari 3rd Stage, 5th Block, Bangalore, Banashankari, Bangalore",unknown
CAFE NOVA,Banashankari,Cafe,"['Cafe', 'Bakery']",,,3.6,11,"101, Water Tank Road, 2nd Block, 3rd Stage, Banashankari, Bangalore",unknown
Cakes & Slices,Banashankari,Bakery,"['Bakery', 'Desserts']",,,4.0,13,"27, 80 Feet Road, Srinivasnagar, Banashankari, Bangalore",unknown
Spice 9,Banashankari,Biryani,"['Biryani', 'North Indian', 'Chinese', 'Fast Food']",,,4.8,8,"Number 42, 4th Block, 6th Stage Banashankari, Vrishabhvachi Nagar, Opposite RV College of Architecture, Bangalore",unknown
Coffee Shopee,Banashankari,Beverages,['Beverages'],,,4.1,0,"1722, 13th Main Road 31st Cross BSK, 2nd Stage, Banashankari, Bangalore",unknown
Naveen Kabab & Biriyani Mane,Banashankari,Biryani,['Biryani'],,,4.3,9,"2, 3rd Cross, Near Pesit College, Banashankari, Bangalore",unknown
Katriguppe Donne Biryani,Banashankari,North Indian,['North Indian'],,,3.8,4,"8, Katriguppe Main Road, Vivekananda Nagar, 3rd Stage, Banashankari, Bangalore",unknown
Hari Super Sandwich,Banashankari,Sandwich,"['Sandwich', 'Pizza', 'Beverages']",,,2.6,0,"594, 24 The Cross BSK, Opposte Oriental Bank, Banashankari, Bangalore",unknown
Atithi Point Ande Ka Funda,Banashankari,North Indian,['North Indian'],,,4.0,29,"7/1, Behind BMS College Hostel, 80 Feet Road, 1st Stage, Srinivas Nagar Bank Colony, Banashankari, Bangalore",unknown
Just Bake,Banashankari,Bakery,"['Bakery', 'Desserts']",,,3.8,8,"3967, VHBC Society, Girinagar Phase 4, Hosekerehalli Mani Road, Banashankari 3rd Stage, Banashankari, Bangalore",unknown
Dharwad Line Bazaar Mishra Pedha,Banashankari,Mithai,['Mithai'],,,4.9,0,"Shop 25, 1st Cross, 50 Feet Main Road, Near BDA Park, Girinagar, Banashankari, Bangalore",unknown
Cake Bite,Banashankari,Bakery,['Bakery'],,,3.4,0,"Near Seetha Circle, Vivekananda Park Road, Girinagar, Banashankari, Bangalore",unknown
Aarush's Food Plaza,Banashankari,North Indian,"['North Indian', 'Street Food']",,,3.5,0,"41/10, Near PESIT Collage, 8th Main Road, 1st Cross, Dwarakanagar, Banashankari, Bangalore",unknown
Wood Stove,Banashankari,South Indian,['South Indian'],,,3.7,0,"3148, 2nd Cross, 4th Phase Girinagar, Near Hosagarnahalli Cross, Banashankari, Bangalore",unknown
Kulfi & More,Banashankari,Ice Cream,"['Ice Cream', 'Desserts', 'Juices']",,,2.9,0,"662, 19th Main, Kidney Foundation, Padmanabhan Nagar, Banashankari, Bangalore",unknown
Kannadigas Karavali,Banashankari,Mangalorean,"['Mangalorean', 'South Indian', 'North Indian']",,,4.2,0,"1189, 9th Main, Ashok Nagar, Bank 1st Stage, Banashankari, Bangalore",unknown
K27 - The Pub,Banashankari,Chinese,"['Chinese', 'North Indian']",,,4.5,30,"27, 27th Cross, 2nd Stage, Banashankari, Bangalore",unknown
Bengaluru Coffee House,Banashankari,South Indian,"['South Indian', 'North Indian', 'Chinese', 'Street Food']",,,4.4,201,"4001/4002, Annapoorneshwari Plaza, Near Seetha Circle, Hosakerehalli Cross, Banashankari, Bangalore",unknown
New Mangalore Lunch Home,Banashankari,Mangalorean,"['Mangalorean', 'South Indian', 'North Indian']",,,3.6,7,"89, Near PES College, 22nd Main Road, Girinagar, 1st Stage, Banashankari, Bangalore",unknown
Coffee Bytes,Banashankari,Fast Food,"['Fast Food', 'South Indian']",,,4.6,6,"10th Main, Hanumanthanagar, 50 Feet Road, Phase 1, Banashankari, Bangalore",unknown
Parjanya Chat Zone,Banashankari,Street Food,"['Street Food', 'Fast Food']",,,3.3,17,"68, Opposite ICICI Bank, 21st Main Road, 2nd Stage, Banashankari, Bangalore",unknown
Kwality Wall's Swirl's Happiness Station,Banashankari,Ice Cream,"['Ice Cream', 'Desserts']",,,4.1,25,"590, 24th Cross, 2nd Stage, Banashankari, Bangalore",unknown
Soms Kitchen & Bakes,Banashankari,South Indian,"['South Indian', 'North Indian', 'Continental']",,,5.0,0,"346, 7th Cross, 8th Main Road, Padmanabham Nagar, Banashankari, Bangalore",unknown
Banashankari Nati Style,Banashankari,Biryani,"['Biryani', 'Chinese', 'South Indian', 'North Indian']",,,3.3,0,"17/1, Ramalh Garden, Kadieranahall Circle, Near Raghavendra Flour Mill, Dr Vishnuvardhan Main Road, BSK 2nd Stage, Banashankari, Bangalore",unknown
Ruchi Maayaka,Banashankari,South Indian,['South Indian'],,,3.5,8,"Padmanabhanagar, Banashankari, Bangalore",unknown
Mohitesh Hut Roll,Banashankari,Rolls,"['Rolls', 'North Indian']",,,3.8,0,"29, 5th Cross, Near PES College, 100 Feet Road, Dwaraka Nager, Banashankari, Bangalore",unknown
Sri Basaveshwar Jolada Rotti Oota,Banashankari,South Indian,['South Indian'],,,3.3,0,"692, 12th Cross, 7th Block Kankapura Main Road, Banashankari, Bangalore",unknown
Roll Magic Fast Food,Banashankari,Biryani,"['Biryani', 'Rolls', 'Chinese']",,,2.9,0,"28, 4th Cross Road, Dwaraka Nagar, Banashankari, Bengaluru",unknown
Foodlieious Multi Cuisine,Banashankari,North Indian,['North Indian'],,,3.7,0,"3/16, 22 Main Road, Magenta Block, PES College, Road Bank Colony, Banashankari, Bangalore",unknown
Thanishka Nati And Karavali Style,Banashankari,Biryani,"['Biryani', 'Fast Food']",,,3.1,0,"17/1, Ramaiah Garden, Kadirenahalli Circle, Dr Vishnuvardhan Main Road, 2nd Stage, Banashankari, Bangalore",unknown
Swathi Cool Point,Banashankari,Beverages,"['Beverages', 'Juices']",,,4.2,0,"2/1, 7th Main, Dwarakangar, Banashankari, Bangalore",unknown
Kaumudis Juoice,Banashankari,Beverages,"['Beverages', 'Fast Food', 'Juices']",,,3.2,0,"487, Cauvery Complex, S.B.M Colony, 80 Feet Road, Banashankri, Bangalore",unknown
Amma - Manae,Banashankari,South Indian,['South Indian'],,,4.9,0,"10, 4th cross, Muneshwara Block, Devinagar, Banashankari, Bangalore",unknown
Sri Sai Tiffannies,Banashankari,South Indian,"['South Indian', 'Chinese']",,,3.3,0,"559/1, Opposite Canara Bank ATM, Pipelane Road, Sri Nagar, Banashankari, Bengaluru",unknown
Hotel Andhra Speices,Banashankari,Andhra,['Andhra'],,,3.5,0,"263, 3rd Main Road, Chikka Laksandra, Banashankari, Bangalore",unknown
Sri Murari Family Restaurant,Banashankari,Biryani,['Biryani'],,,4.0,0,"57, 3rd cross, 80 feet Road, Banashankari, Bangalore",unknown
Aramane Donne Biriyani,Banashankari,South Indian,"['South Indian', 'Biryani']",,,3.2,0,"94, Katriguppe Main Road, Opposite Pai Showroom, Banashankari, Bangalore",unknown
Darkolates,Banashankari,Desserts,['Desserts'],,,4.0,0,"66, Benaka, 2nd Cross, 2nd Main, Kathriguppe East, 3rd Stage, Banashankari, Bangalore",unknown
Swaada Healthy Kitchen,Banashankari,Healthy Food,"['Healthy Food', 'Juices', 'Sandwich']",,,3.8,0,"617, 100 Feet Ring Road Next to Devegowda Petrol Pump, Banashankari, Bangalore",unknown
Gawdaru Mane Beriyani,Banashankari,South Indian,"['South Indian', 'Biryani']",,,2.9,0,"209, 5th Cross, AG Thaneerappa Road, 1st Phase Girinagar, Ganapathi Nagar, Banashankari Stage I, Banashankari, Bengaluru",unknown
Melting Melodies,Banashankari,Pizza,"['Pizza', 'Fast Food']",,,3.4,0,"Bhuvaneshwari Nagar BSK 3RD Stage, Banashankari, Bangalore",unknown
New Indraprasta,Banashankari,South Indian,"['South Indian', 'Beverages']",,,4.0,0,"77, 50 Ft Road, Hanumathnagara, Banashankari, Bangalore",unknown
Anna Kuteera,Banashankari,South Indian,"['South Indian', 'North Indian', 'Chinese']",,,4.6,771,"21, 80 Feet Road, 3rd Phase, 4th Block, 3rd Stage, Banashankari, Bangalore",unknown
Darbar,Banashankari,North Indian,"['North Indian', 'Chinese']",,,3.3,98,"1, Near BDA Complex, 24th Main, 2nd Stage, Banashankari, Bangalore",unknown
